sell,1675077475426.00,1675077484015.00,0.00
buy,1675077607186.00,1675077616873.00,0.00
buy,1675077792832.00,1675077796693.00,-0.01
buy,1675077994025.00,1675077997871.00,0.00
sell,1675078276242.00,1675078285495.00,-0.00
sell,1675078630281.00,1675078636873.00,-0.00
buy,1675078856957.00,1675078859375.00,0.00
buy,1675078955913.00,1675078958309.00,0.00
sell,1675079180525.00,1675079182749.00,0.03
sell,1675079528764.00,1675079530788.00,-0.01
buy,1675079589984.00,1675079592259.00,0.02
sell,1675079651579.00,1675079653895.00,-0.02
buy,1675079714029.00,1675079716055.00,-0.01
buy,1675079787548.00,1675079791319.00,0.02
sell,1675079839918.00,1675079844702.00,0.01
buy,1675079876503.00,1675079879502.00,0.00
sell,1675079974909.00,1675079979551.00,0.03
buy,1675080094792.00,1675080096846.00,0.02
buy,1675080306398.00,1675080308455.00,-0.02
sell,1675080429664.00,1675080432873.00,0.06
buy,1675080593421.00,1675080596760.00,0.00
sell,1675080660065.00,1675080663638.00,0.00
sell,1675080711648.00,1675080714671.00,-0.01
buy,1675080756059.00,1675080758699.00,-0.00
sell,1675080779467.00,1675080783755.00,-0.00
sell,1675080885057.00,1675080888132.00,-0.00
buy,1675080933673.00,1675080935780.00,0.01
sell,1675081213916.00,1675081220690.00,0.01
sell,1675081473569.00,1675081475667.00,0.00
sell,1675081642090.00,1675081644300.00,0.01
buy,1675081696571.00,1675081701396.00,0.01
sell,1675081805887.00,1675081810291.00,-0.01
buy,1675081810685.00,1675081813165.00,0.01
sell,1675081835673.00,1675081840995.00,-0.00
sell,1675082059910.00,1675082072417.00,0.01
buy,1675082289345.00,1675082291573.00,0.02
sell,1675082320614.00,1675082323037.00,-0.02
buy,1675082460083.00,1675082462110.00,-0.05
sell,1675082475507.00,1675082477824.00,-0.03
sell,1675082533196.00,1675082535741.00,-0.04
sell,1675082833316.00,1675082835595.00,0.02
sell,1675083004004.00,1675083008579.00,0.01
buy,1675083074289.00,1675083078349.00,-0.01
buy,1675083147209.00,1675083151362.00,-0.01
sell,1675083404552.00,1675083407010.00,-0.01
buy,1675083553549.00,1675083556571.00,0.00
buy,1675083816801.00,1675083820202.00,0.01
sell,1675083831575.00,1675083833596.00,-0.01
buy,1675084455830.00,1675084462442.00,-0.02
buy,1675084595395.00,1675084598968.00,-0.01
buy,1675084825097.00,1675084831769.00,0.00
sell,1675084914038.00,1675084929491.00,0.00
buy,1675085260838.00,1675085263192.00,0.00
sell,1675085630268.00,1675085633634.00,-0.01
sell,1675085727535.00,1675085729950.00,0.01
sell,1675085857002.00,1675085863443.00,0.01
buy,1675085904604.00,1675085909039.00,0.01
buy,1675086045742.00,1675086047864.00,0.01
buy,1675086208186.00,1675086210428.00,-0.00
sell,1675086876265.00,1675086879106.00,-0.01
sell,1675086988575.00,1675086991747.00,0.02
buy,1675087122424.00,1675087131144.00,0.00
sell,1675087642643.00,1675087644667.00,0.01
buy,1675087667629.00,1675087671865.00,0.01
sell,1675087906548.00,1675087908602.00,-0.01
buy,1675087993061.00,1675087995952.00,-0.01
sell,1675088256667.00,1675088258721.00,0.00
