symbol,signal,entryTime,outTime,pnl
ETHUSDT,1,1675037921478.0,1675037932114.0,-0.08846
BTCUSDT,1,1675037925420.0,1675037935838.0,-0.02570
ETCUSDT,1,1675037926488.0,1675037936586.0,-0.02614
ETHUSDT,-1,1675037927668.0,1675037938053.0,-0.03173
ETHUSDT,1,1675037928282.0,1675037938647.0,0.10258
BTCUSDT,-1,1675037927970.0,1675037938841.0,-0.00590
ETHUSDT,-1,1675037929396.0,1675037939493.0,-0.09220
ETCUSDT,-1,1675037930042.0,1675037940049.0,-0.09162
ETHUSDT,1,1675037932233.0,1675037943461.0,0.05860
BTCUSDT,1,1675037938841.0,1675037949081.0,0.02698
ETCUSDT,1,1675037939769.0,1675037949824.0,0.12210
ETHUSDT,-1,1675037944105.0,1675037954230.0,0.06223
ETCUSDT,-1,1675037944463.0,1675037955006.0,0.02617
ETHUSDT,1,1675037948075.0,1675037958257.0,-0.16769
ETHUSDT,-1,1675037950011.0,1675037960454.0,0.10799
ETCUSDT,1,1675037949848.0,1675037960458.0,-0.17853
BTCUSDT,-1,1675037951796.0,1675037962702.0,0.02993
ETCUSDT,-1,1675037956148.0,1675037966902.0,-0.03054
ETHUSDT,1,1675037962019.0,1675037972191.0,-0.00977
BTCUSDT,1,1675037964653.0,1675037975448.0,-0.04680
BTCUSDT,-1,1675037966923.0,1675037976950.0,0.00253
ETCUSDT,1,1675037973212.0,1675037983427.0,0.06981
ETCUSDT,-1,1675037975471.0,1675037985649.0,-0.12216
ETHUSDT,1,1675037976723.0,1675037987002.0,0.11055
BTCUSDT,1,1675037976873.0,1675037989937.0,0.02826
ETCUSDT,1,1675037981168.0,1675037993374.0,0.04360
ETCUSDT,-1,1675038004881.0,1675038014924.0,-0.02615
ETHUSDT,-1,1675038005830.0,1675038016968.0,-0.06286
BTCUSDT,-1,1675038005553.0,1675038018469.0,0.00126
ETHUSDT,1,1675038008896.0,1675038020174.0,0.06102
BTCUSDT,1,1675038011105.0,1675038023066.0,0.00126
ETCUSDT,1,1675038017145.0,1675038028787.0,0.00871
ETCUSDT,-1,1675038068386.0,1675038078634.0,-0.06525
BTCUSDT,-1,1675038074211.0,1675038084801.0,-0.00169
ETCUSDT,1,1675038083072.0,1675038093219.0,-0.02173
BTCUSDT,1,1675038089954.0,1675038105175.0,-0.02191
ETCUSDT,-1,1675038100856.0,1675038112252.0,0.16520
BTCUSDT,-1,1675038108685.0,1675038118689.0,0.04383
ETHUSDT,-1,1675038108761.0,1675038120794.0,0.04815
BTCUSDT,1,1675038131849.0,1675038143574.0,-0.03331
BTCUSDT,-1,1675038131850.0,1675038143574.0,0.01645
ETHUSDT,1,1675038131863.0,1675038143824.0,-0.03354
ETHUSDT,-1,1675038134186.0,1675038144726.0,-0.00671
BTCUSDT,1,1675038163951.0,1675038175417.0,0.01097
BTCUSDT,-1,1675038164014.0,1675038175431.0,-0.03967
BTCUSDT,1,1675038165093.0,1675038176640.0,0.02658
ETHUSDT,1,1675038168756.0,1675038181922.0,-0.00549
ETCUSDT,1,1675038179993.0,1675038190650.0,-0.03924
ETHUSDT,-1,1675038196631.0,1675038207529.0,0.03233
ETCUSDT,-1,1675038200722.0,1675038210734.0,0.06108
BTCUSDT,-1,1675038206375.0,1675038216468.0,-0.01392
ETCUSDT,1,1675038215930.0,1675038226954.0,0.01746
ETHUSDT,1,1675038229791.0,1675038243763.0,-0.04088
ETHUSDT,-1,1675038231228.0,1675038243763.0,0.02929
ETCUSDT,-1,1675038235652.0,1675038245874.0,-0.06119
ETCUSDT,1,1675038253607.0,1675038263830.0,-0.05246
ETCUSDT,-1,1675038256394.0,1675038266398.0,0.11808
ETCUSDT,1,1675038273708.0,1675038284568.0,-0.09622
ETHUSDT,1,1675038280407.0,1675038290835.0,0.04882
ETHUSDT,-1,1675038288526.0,1675038298890.0,-0.17158
ETCUSDT,-1,1675038289455.0,1675038299898.0,-0.12693
ETHUSDT,1,1675038289359.0,1675038300039.0,0.11534
BTCUSDT,1,1675038292409.0,1675038303058.0,0.01182
ETHUSDT,-1,1675038293502.0,1675038304118.0,-0.09702
ETHUSDT,1,1675038293700.0,1675038304118.0,0.04391
ETCUSDT,1,1675038297836.0,1675038307925.0,0.14430
ETHUSDT,-1,1675038297567.0,1675038308171.0,-0.05245
ETHUSDT,1,1675038297644.0,1675038308322.0,0.02927
ETCUSDT,-1,1675038357110.0,1675038367123.0,0.00437
BTCUSDT,-1,1675038372959.0,1675038384075.0,0.00802
ETHUSDT,-1,1675038372853.0,1675038384156.0,0.03902
ETCUSDT,1,1675038404934.0,1675038415719.0,-0.00874
ETHUSDT,1,1675038432802.0,1675038443065.0,0.01403
BTCUSDT,1,1675038430344.0,1675038447112.0,0.02828
ETHUSDT,-1,1675038491022.0,1675038502352.0,0.03049
BTCUSDT,-1,1675038490835.0,1675038503263.0,0.03333
ETCUSDT,-1,1675038501293.0,1675038512904.0,0.05674
ETHUSDT,1,1675038523452.0,1675038534143.0,-0.02622
ETHUSDT,-1,1675038545444.0,1675038556029.0,-0.00915
BTCUSDT,1,1675038545478.0,1675038556032.0,0.01604
ETHUSDT,1,1675038556117.0,1675038567377.0,0.03597
ETCUSDT,1,1675038565453.0,1675038576144.0,-0.01308
ETCUSDT,-1,1675038616565.0,1675038626981.0,0.02181
ETHUSDT,-1,1675038630646.0,1675038640968.0,0.03535
BTCUSDT,-1,1675038630635.0,1675038645401.0,0.03501
BTCUSDT,1,1675038661537.0,1675038672887.0,0.02447
ETHUSDT,1,1675038673161.0,1675038683977.0,0.02620
ETCUSDT,1,1675038691866.0,1675038703998.0,-0.04358
ETHUSDT,-1,1675038718037.0,1675038728118.0,-0.07010
BTCUSDT,-1,1675038717859.0,1675038729886.0,-0.04514
BTCUSDT,1,1675038722955.0,1675038736066.0,0.00253
ETHUSDT,1,1675038725057.0,1675038736082.0,-0.00305
BTCUSDT,-1,1675038771543.0,1675038786578.0,-0.01644
BTCUSDT,1,1675038777328.0,1675038793287.0,-0.00126
BTCUSDT,-1,1675038807478.0,1675038818299.0,-0.03204
ETHUSDT,-1,1675038808035.0,1675038818593.0,-0.03714
ETHUSDT,1,1675038808036.0,1675038818593.0,0.01583
BTCUSDT,1,1675038817165.0,1675038828304.0,0.02360
ETCUSDT,-1,1675038872366.0,1675038883785.0,-0.04776
ETCUSDT,1,1675038876854.0,1675038887181.0,-0.06941
ETCUSDT,-1,1675038887182.0,1675038897730.0,0.01302
BTCUSDT,-1,1675038912018.0,1675038926709.0,0.00548
ETCUSDT,1,1675038923482.0,1675038936164.0,-0.10848
ETHUSDT,-1,1675038938018.0,1675038948062.0,-0.03224
ETHUSDT,1,1675038946696.0,1675038958348.0,0.01460
BTCUSDT,1,1675038946668.0,1675038959408.0,0.04635
ETCUSDT,-1,1675038965783.0,1675038976500.0,0.02604
BTCUSDT,-1,1675038989545.0,1675039001809.0,0.02652
ETHUSDT,-1,1675038996873.0,1675039012206.0,-0.00913
ETCUSDT,1,1675039031818.0,1675039041881.0,0.00000
ETHUSDT,1,1675039042156.0,1675039058467.0,-0.02616
ETHUSDT,-1,1675039047803.0,1675039058467.0,-0.00791
ETHUSDT,1,1675039068456.0,1675039079546.0,0.02555
BTCUSDT,1,1675039132492.0,1675039142528.0,0.00758
BTCUSDT,-1,1675039159388.0,1675039170508.0,-0.03201
ETHUSDT,-1,1675039159455.0,1675039174667.0,-0.04745
BTCUSDT,1,1675039177256.0,1675039187824.0,-0.00716
BTCUSDT,-1,1675039192058.0,1675039202062.0,0.00126
ETHUSDT,1,1675039192053.0,1675039202185.0,-0.00851
ETCUSDT,-1,1675039192762.0,1675039202775.0,0.02170
BTCUSDT,1,1675039208224.0,1675039218995.0,-0.01053
ETHUSDT,-1,1675039218933.0,1675039230839.0,0.00426
ETHUSDT,1,1675039218933.0,1675039231380.0,0.00182
BTCUSDT,-1,1675039248884.0,1675039260013.0,0.03918
ETHUSDT,-1,1675039248869.0,1675039263725.0,0.04075
BTCUSDT,1,1675039296266.0,1675039308567.0,0.00084
BTCUSDT,-1,1675039296267.0,1675039308575.0,-0.01517
ETHUSDT,1,1675039323468.0,1675039333639.0,-0.00852
BTCUSDT,1,1675039327800.0,1675039338218.0,0.00337
ETCUSDT,1,1675039331113.0,1675039341766.0,-0.04349
ETHUSDT,-1,1675039349379.0,1675039359639.0,0.01034
ETCUSDT,-1,1675039350091.0,1675039360905.0,0.00870
BTCUSDT,-1,1675039361038.0,1675039375858.0,0.02655
ETCUSDT,1,1675039411968.0,1675039422191.0,0.04352
BTCUSDT,1,1675039446816.0,1675039473666.0,0.00927
ETHUSDT,1,1675039464888.0,1675039475353.0,0.03833
BTCUSDT,-1,1675039539457.0,1675039550297.0,0.02948
ETHUSDT,-1,1675039539897.0,1675039550318.0,0.00243
BTCUSDT,1,1675039554197.0,1675039564215.0,-0.00042
BTCUSDT,-1,1675039571646.0,1675039583846.0,0.00421
ETHUSDT,1,1675039569249.0,1675039583862.0,-0.01156
ETHUSDT,-1,1675039591650.0,1675039602820.0,-0.05477
BTCUSDT,1,1675039594161.0,1675039606403.0,0.02780
ETHUSDT,1,1675039602980.0,1675039614107.0,0.05656
BTCUSDT,-1,1675039733725.0,1675039746491.0,-0.00126
BTCUSDT,1,1675039766116.0,1675039779252.0,-0.00842
ETCUSDT,-1,1675039783144.0,1675039793279.0,-0.01301
ETHUSDT,-1,1675039784148.0,1675039795674.0,-0.00304
ETHUSDT,1,1675039795731.0,1675039806581.0,0.02793
ETHUSDT,-1,1675039832259.0,1675039843591.0,0.01943
BTCUSDT,-1,1675039832298.0,1675039846768.0,0.02482
BTCUSDT,1,1675039864983.0,1675039875837.0,-0.00252
ETHUSDT,1,1675039864983.0,1675039875843.0,-0.03581
ETCUSDT,1,1675039863299.0,1675039876709.0,-0.01734
ETHUSDT,-1,1675039892361.0,1675039903824.0,-0.00911
ETHUSDT,1,1675039945389.0,1675039955689.0,-0.02732
ETHUSDT,-1,1675039962057.0,1675039972518.0,-0.02855
BTCUSDT,-1,1675039961955.0,1675039981181.0,-0.00715
ETCUSDT,-1,1675039983754.0,1675039994245.0,-0.00433
ETHUSDT,1,1675039972518.0,1675039995802.0,0.03097
ETHUSDT,-1,1675039975112.0,1675039995802.0,-0.05101
ETHUSDT,1,1675039981546.0,1675039995802.0,0.00546
ETCUSDT,1,1675039987034.0,1675039997994.0,-0.01733
BTCUSDT,1,1675039994624.0,1675040005674.0,0.00000
BTCUSDT,-1,1675040051037.0,1675040063154.0,0.00673
ETHUSDT,-1,1675040060873.0,1675040083779.0,-0.01214
BTCUSDT,1,1675040083627.0,1675040107515.0,0.01009
BTCUSDT,-1,1675040121353.0,1675040133834.0,0.01346
ETCUSDT,-1,1675040140117.0,1675040152047.0,0.01300
BTCUSDT,1,1675040217963.0,1675040229403.0,0.00084
ETCUSDT,1,1675040231456.0,1675040242518.0,0.01733
BTCUSDT,-1,1675040271572.0,1675040283581.0,-0.00589
ETHUSDT,1,1675040284701.0,1675040297639.0,0.02247
BTCUSDT,1,1675040349613.0,1675040359889.0,-0.02399
BTCUSDT,-1,1675040351068.0,1675040361384.0,-0.00084
ETHUSDT,-1,1675040371267.0,1675040381897.0,-0.02429
BTCUSDT,1,1675040458058.0,1675040468272.0,-0.00632
ETCUSDT,-1,1675040461474.0,1675040471540.0,-0.15961
ETCUSDT,1,1675040467788.0,1675040478006.0,0.05602
ETHUSDT,1,1675040479361.0,1675040499830.0,0.05528
ETCUSDT,-1,1675040498440.0,1675040508546.0,-0.14609
ETCUSDT,1,1675040508294.0,1675040518345.0,0.14592
ETCUSDT,-1,1675040520904.0,1675040530927.0,-0.28725
ETCUSDT,1,1675040523068.0,1675040533435.0,0.15408
ETCUSDT,-1,1675040523857.0,1675040534038.0,-0.00427
ETCUSDT,1,1675040524065.0,1675040534073.0,0.03421
ETCUSDT,-1,1675040526165.0,1675040536176.0,-0.02565
ETCUSDT,1,1675040531250.0,1675040541567.0,-0.14097
ETCUSDT,-1,1675040536540.0,1675040546916.0,0.07694
ETCUSDT,1,1675040542732.0,1675040552960.0,-0.08982
ETHUSDT,-1,1675040544396.0,1675040556438.0,0.00121
ETCUSDT,-1,1675040554214.0,1675040564956.0,0.11131
ETCUSDT,1,1675040560006.0,1675040570111.0,-0.35523
ETCUSDT,-1,1675040562215.0,1675040572475.0,0.29131
ETCUSDT,1,1675040577985.0,1675040588579.0,-0.07725
ETCUSDT,-1,1675040587065.0,1675040597210.0,0.02578
ETHUSDT,1,1675040604069.0,1675040614355.0,-0.01274
ETCUSDT,1,1675040609635.0,1675040620269.0,0.14587
ETCUSDT,-1,1675040641750.0,1675040652038.0,-0.21822
ETCUSDT,1,1675040645542.0,1675040655561.0,0.17112
BTCUSDT,-1,1675040659529.0,1675040670080.0,0.00337
ETCUSDT,-1,1675040671617.0,1675040682471.0,0.17067
ETHUSDT,-1,1675040681319.0,1675040695161.0,0.01275
ETCUSDT,1,1675040688993.0,1675040699197.0,-0.11107
ETCUSDT,-1,1675040690848.0,1675040700884.0,-0.03419
ETCUSDT,1,1675040701689.0,1675040712174.0,-0.05125
ETCUSDT,-1,1675040715634.0,1675040725685.0,-0.09412
ETCUSDT,1,1675040723028.0,1675040733925.0,0.31673
ETCUSDT,-1,1675040741829.0,1675040751900.0,0.18367
ETCUSDT,1,1675040759167.0,1675040769614.0,-0.13248
ETCUSDT,-1,1675040767548.0,1675040777758.0,0.06419
ETCUSDT,1,1675040793681.0,1675040803818.0,-0.11546
ETHUSDT,1,1675040793286.0,1675040808848.0,-0.04558
ETCUSDT,-1,1675040805973.0,1675040816983.0,-0.02141
ETCUSDT,1,1675040821954.0,1675040832133.0,-0.11541
ETHUSDT,-1,1675040830661.0,1675040846887.0,0.09301
ETCUSDT,-1,1675040836550.0,1675040848291.0,-0.09848
ETCUSDT,1,1675040856435.0,1675040866917.0,0.00856
ETHUSDT,1,1675040857520.0,1675040868055.0,-0.02494
BTCUSDT,1,1675040884504.0,1675040896507.0,0.00169
ETCUSDT,-1,1675040901379.0,1675040911489.0,-0.10231
ETCUSDT,1,1675040907282.0,1675040917399.0,0.07674
ETHUSDT,-1,1675040912331.0,1675040922473.0,0.04622
ETCUSDT,-1,1675040912857.0,1675040922923.0,0.02129
BTCUSDT,-1,1675040915740.0,1675040929708.0,0.02951
ETCUSDT,1,1675040922747.0,1675040932855.0,0.08093
ETCUSDT,-1,1675040923409.0,1675040933453.0,-0.09372
ETCUSDT,1,1675040925267.0,1675040935471.0,0.13632
ETCUSDT,-1,1675040929904.0,1675040940041.0,-0.06810
ETCUSDT,1,1675040930703.0,1675040940748.0,0.12771
ETCUSDT,-1,1675040951625.0,1675040961645.0,0.37383
ETCUSDT,1,1675040952529.0,1675040962662.0,-0.42454
ETCUSDT,-1,1675040953726.0,1675040963896.0,0.17008
ETCUSDT,1,1675040961645.0,1675040971881.0,0.11086
ETCUSDT,-1,1675040969428.0,1675040979833.0,-0.37092
ETCUSDT,1,1675040975734.0,1675040985819.0,0.28977
ETHUSDT,1,1675040980734.0,1675041001072.0,0.00730
ETCUSDT,-1,1675040991569.0,1675041001931.0,-0.06797
ETCUSDT,1,1675040992311.0,1675041002321.0,0.07645
BTCUSDT,1,1675040980571.0,1675041003173.0,0.01518
ETCUSDT,-1,1675041003852.0,1675041013901.0,0.03397
ETCUSDT,1,1675041010199.0,1675041020265.0,-0.26310
ETCUSDT,-1,1675041015678.0,1675041025891.0,0.25467
ETHUSDT,-1,1675041023317.0,1675041039976.0,-0.02617
ETHUSDT,1,1675041023318.0,1675041039976.0,0.00913
ETCUSDT,1,1675041068061.0,1675041078107.0,-0.19209
ETCUSDT,-1,1675041069102.0,1675041079136.0,0.18364
BTCUSDT,-1,1675041073729.0,1675041084757.0,0.00042
ETCUSDT,1,1675041082009.0,1675041092428.0,-0.05981
ETCUSDT,-1,1675041092586.0,1675041102728.0,-0.10692
ETCUSDT,1,1675041100024.0,1675041110091.0,0.12817
ETHUSDT,-1,1675041099566.0,1675041110093.0,0.00669
BTCUSDT,1,1675041111477.0,1675041122268.0,-0.00844
ETHUSDT,1,1675041111556.0,1675041123965.0,-0.01339
BTCUSDT,-1,1675041124431.0,1675041134758.0,0.06498
ETCUSDT,-1,1675041124889.0,1675041134898.0,-0.09816
ETHUSDT,-1,1675041125039.0,1675041135059.0,0.03226
ETCUSDT,1,1675041127847.0,1675041137873.0,0.10663
BTCUSDT,1,1675041128066.0,1675041138102.0,0.00296
ETHUSDT,1,1675041128298.0,1675041138503.0,-0.01827
ETHUSDT,-1,1675041128298.0,1675041138503.0,-0.00244
BTCUSDT,-1,1675041128273.0,1675041141481.0,0.00675
ETHUSDT,1,1675041132004.0,1675041142015.0,0.00365
ETCUSDT,-1,1675041132458.0,1675041143011.0,-0.18771
ETCUSDT,1,1675041135207.0,1675041145890.0,0.11933
BTCUSDT,1,1675041134771.0,1675041145958.0,-0.00042
ETHUSDT,-1,1675041139458.0,1675041151226.0,-0.02985
ETHUSDT,1,1675041151459.0,1675041162674.0,0.01705
ETCUSDT,-1,1675041164388.0,1675041174574.0,-0.00851
BTCUSDT,-1,1675041171795.0,1675041182047.0,0.02237
ETHUSDT,-1,1675041174287.0,1675041186623.0,0.02497
ETCUSDT,1,1675041177966.0,1675041188080.0,-0.27620
ETCUSDT,-1,1675041184181.0,1675041194300.0,0.20849
BTCUSDT,1,1675041216005.0,1675041226041.0,0.02618
ETHUSDT,1,1675041221022.0,1675041231217.0,-0.00609
ETCUSDT,1,1675041232487.0,1675041243047.0,-0.08130
ETCUSDT,-1,1675041245439.0,1675041255526.0,0.01714
ETCUSDT,1,1675041270719.0,1675041280745.0,-0.02574
ETCUSDT,-1,1675041274919.0,1675041285068.0,-0.03435
ETCUSDT,1,1675041283163.0,1675041293316.0,0.16744
BTCUSDT,-1,1675041281267.0,1675041294652.0,0.00675
ETCUSDT,-1,1675041285376.0,1675041295396.0,-0.08156
ETCUSDT,1,1675041286109.0,1675041296197.0,-0.03861
ETHUSDT,-1,1675041287372.0,1675041297960.0,0.05726
BTCUSDT,1,1675041313667.0,1675041324430.0,-0.01943
